Emotion,Path
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a04Fd.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b02Fb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b01Wb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a01Wa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a05Wa.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a05Aa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a04Wc.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a05Tb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a01Wc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a04Wc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a04La.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b02Nb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b10Wa.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a07Ld.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a07La.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a05Fb.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b01Nb.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b02Ea.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a01Ab.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a01Ac.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a02Wa.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a02Fd.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a04Wa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b01Wa.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a04Nc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a05Lc.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a01Ea.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a02La.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b03Nb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b02Wb.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a07Ac.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b01Wd.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a07Wc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a02La.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b03Fe.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b03Td.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b03Wb.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b03Fd.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a04Fd.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b02Wb.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b10Ld.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a07Ta.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10b01Ea.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b01Wc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a01Wb.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a07Eb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a04Wa.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a07Ac.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a04Tc.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a04Fc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a04Wb.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b10Ac.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b02Fd.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b03Ad.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b10Fb.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a05Aa.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a05Fc.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a02Nb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b10Wb.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b03Tc.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b01Eb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a01Wb.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a01Fb.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a04Ta.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a02Ac.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a01Ea.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a05Fb.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b10Nb.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b10Aa.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a01Tb.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a05Ad.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b09Fd.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a07La.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a04Ac.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b02Eb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a07Wa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a02Wc.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b09Ea.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b01Nc.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a02Ab.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b09Ac.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b02Tc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b03Wc.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b01Nc.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b03Ed.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a07Lb.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a01Na.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a07Na.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a04La.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a02Wc.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b01Fc.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a04Ac.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b10Ae.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a02Nb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a05Wd.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b09Nc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b09Wa.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b09Fc.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b01Fd.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b03Wb.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b02Aa.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b02Na.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10b03Wb.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b09Lb.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a04Fd.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a02Na.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a01Ec.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a07Wc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a04Lb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a05Wb.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a05Ea.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b01Wc.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a01Fc.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a01Ac.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b09Wa.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a04Lc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a07La.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a01Ab.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b01Fe.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a05Ed.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a02Nc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a02Ld.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b10Wc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b02Lb.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b01Ab.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a07Lb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a02Wc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a01Wa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a02Wc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b10Wa.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b01Td.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b10Wa.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b02Td.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a04Ac.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a05Lb.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b03Tc.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b03Td.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b02Wc.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a05Eb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a01Wa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b02Wa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b01Wb.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a07Fb.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a02Lb.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a07Aa.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a02Ea.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a07Wc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b09La.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a07La.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b03Ed.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10b09Lb.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a05Nb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a01Wc.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a07Tb.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a01Nb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a05Wc.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a07Tc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a01Wb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b09Wa.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a07Nb.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b03Na.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b09Ac.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b03Lc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a01Lb.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b01Eb.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a01Nc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a05Wa.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b10Nc.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b03Aa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a02Wb.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a01Lb.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a01Lb.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a05Ab.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b02La.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10b02Wb.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a04Fd.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a05Wa.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a01Ac.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b01Aa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b03Wb.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b03Nb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a05Wa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a02Wa.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b02Lb.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b02Lc.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b01Fa.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b01Lb.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b03Fd.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b02Aa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a02Wc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a07La.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a04Nc.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a01Fa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a05Wb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b02Wd.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b01Na.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b09Wc.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a01Fd.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a02Fa.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10b02La.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a01Ea.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a01Fd.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b09Fa.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b10Nc.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b09Td.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a04Ea.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a02Wb.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b10Lb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a05Wa.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a07Na.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b02Tb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a04Wc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b01La.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a04Ab.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b10Tc.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b01Aa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a05Wc.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a05Tc.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b10Nc.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b10Ac.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a02La.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03b10Ab.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15a07Nc.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b03Ea.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a07Eb.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14a05Fa.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10b01Fa.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08a02Tb.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b02Ab.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a01Aa.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a07Eb.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b10Tc.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b10Fd.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16a04Nc.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12b03La.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b02Wc.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10b02Aa.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a02Nc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b10Wa.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a02Fa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a05Wb.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a04Nb.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a07Ld.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b02Wd.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a01Wa.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b01Ab.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b09Eb.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a04Ta.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/10a05Ld.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a05Wb.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09a02Eb.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b03Ta.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/09b01Na.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a07Ta.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/15b03Lc.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b09Wb.wav
disgust,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/14b10Eb.wav
neutral,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11b09Na.wav
boredom,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b03La.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/12a02Ac.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13a02Ta.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/08b03Wd.wav
anxiety,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b03Ac.wav
happiness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/13b10Fa.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/11a01Wc.wav
sadness,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/16b01Tb.wav
anger,/kaggle/input/berlin-database-of-emotional-speech-emodb/wav/03a05Wb.wav
